Club,Division,Nation of Club,Club Reputation
Atlético Namibe,Angolan Lower Division,Angola,National
A. Bou Saâda,Algerian League 2 - East,Algeria,National
Porcelana FC,Angolan Lower Division,Angola,National
US Biskra,Algerian League 1,Algeria,National
JSM Skikda,Algerian League 2 - East,Algeria,National
Ferroviário da Huíla,Angolan Lower Division,Angola,National
Petro Huambo,Angolan Lower Division,Angola,National
CA Batna,Algerian League 2 - East,Algeria,National
MO Constantine,Algerian League 2 - East,Algeria,National
US Chaouia,Algerian League 2 - East,Algeria,National
USMM Hadjout,Division Nationale Amateur - Ouest,Algeria,National
SA Mohammadia,Division Nationale Amateur - Ouest,Algeria,National
AS Khroub,Algerian League 2 - East,Algeria,National
USM Aïn Beïda,Division Nationale Amateur - Est,Algeria,National
AC FAF,-,Algeria,National
RC Arbaâ,Algerian League 1,Algeria,National
CRB Aïn Fakroun,Division Nationale Amateur - Est,Algeria,National
Petro de Luanda B,Angolan Lower Division,Angola,National
US Remchi,Algerian League 2 - West,Algeria,National
USM Khenchela,Algerian League 2 - East,Algeria,National
WA Boufarik,Algerian League 2 - West,Algeria,National
Académica Soyo,Angolan Lower Division,Angola,National
1º de Agosto B,Angolan Lower Division,Angola,National
NC Magra,Algerian League 1,Algeria,National
USM Blida,Algerian League 2 - West,Algeria,Regional
RC Kouba,Algerian League 2 - West,Algeria,Regional
ES Mostaganem,Division Nationale Amateur - Ouest,Algeria,Regional
NARB Réghaïa,Division Nationale Amateur - Centre,Algeria,Regional
Académie JMG Paradou,-,Algeria,Regional
Recreativo do Libolo B,Angolan Lower Division,Angola,National
IB Khemis-El-Khechna,Algerian League 2 - West,Algeria,Regional
E. Sour El-Ghozlane,Algerian Lower Division,Algeria,Regional
NRB Touggourt,Algerian League 2 - East,Algeria,Regional
CR Caála B,Angolan Lower Division,Angola,National
USM Sétif,Algerian Lower Division,Algeria,Regional
F.C. Santa Coloma,Andorran First Division,Andorra,National
OMR El Annasser,Algerian Lower Division,Algeria,Regional
CR Témouchent,Algerian League 2 - West,Algeria,Regional
GC Mascara,Division Nationale Amateur - Ouest,Algeria,Regional
JSM Tiaret,Algerian League 2 - West,Algeria,Regional
WA Mostaganem,Algerian Lower Division,Algeria,Regional
MSP Batna,Algerian League 2 - East,Algeria,Regional
US Tébessa,Division Nationale Amateur - Est,Algeria,Regional
HB Chelghoum-Laïd,Algerian League 1,Algeria,Regional
JS Bordj Menaïel,Algerian Lower Division,Algeria,Regional
IRB Sidi Aïssa,Algerian Lower Division,Algeria,Regional
ES Guelma,Algerian Lower Division,Algeria,Regional
JSM Chéraga,Algerian Lower Division,Algeria,Regional
WA Rouiba,Algerian Lower Division,Algeria,Regional
Hamra Annaba,Algerian Lower Division,Algeria,Regional
UMS Dréan,Algerian Lower Division,Algeria,Regional
ES Berrouaghia,Algerian Lower Division,Algeria,Regional
WR Bentalha,Algerian Lower Division,Algeria,Regional
SC Aïn Defla,Algerian League 2 - West,Algeria,Regional
JS Djidjel,Division Nationale Amateur - Est,Algeria,Regional
ESM Koléa,Division Nationale Amateur - Centre,Algeria,Regional
RCB Oued Rhiou,Algerian League 2 - West,Algeria,Regional
IS Tighennif,Algerian Lower Division,Algeria,Regional
CC Sig,Algerian Lower Division,Algeria,Regional
MB Hassasna,Division Nationale Amateur - Ouest,Algeria,Regional
IB Lakhdaria,Algerian League 2 - East,Algeria,Regional
USM Chéraga,Algerian Lower Division,Algeria,Regional
WA Ramdane Djamel,Algerian Lower Division,Algeria,Regional
DRB Tadjenanet,Algerian League 2 - East,Algeria,Regional
USO Amizour,Algerian Lower Division,Algeria,Regional
CRB Sendjas,Algerian Lower Division,Algeria,Regional
NRB Teleghma,Division Nationale Amateur - Est,Algeria,Regional
RCB Ouled Djellal,Division Nationale Amateur - Est,Algeria,Regional
Progresso Sambizanga B,Angolan Lower Division,Angola,National
WR M'sila,Algerian League 2 - East,Algeria,Regional
Académica Lobito B,Angolan Lower Division,Angola,National
Inter d'Escaldes,Andorran First Division,Andorra,National
Sant Julià,Andorran First Division,Andorra,National
USBB Arréridj,Algerian Lower Division,Algeria,Regional
Santa Rita de Cássia B,Angolan Lower Division,Angola,National
JS Emir Abdelkader,Algerian Lower Division,Algeria,Regional
Engordany,Andorran First Division,Andorra,National
Wiliete B,Angolan Lower Division,Angola,National
Kuando Kubango B,Angolan Lower Division,Angola,National
FC Cabinda,Angolan Lower Division,Angola,National
JS El Biar,Algerian Lower Division,Algeria,Regional
CRB Bordj-El-Kiffan,Algerian Lower Division,Algeria,Regional
WB Aïn Bénian,Algerian Lower Division,Algeria,Regional
IRB El Hadjar,Algerian Lower Division,Algeria,Regional
SCM Oran,Division Nationale Amateur - Ouest,Algeria,Regional
CR Zaouïa,Algerian Lower Division,Algeria,Regional
CRB El Milia,Algerian Lower Division,Algeria,Regional
SKAF El Khemis,Algerian League 2 - West,Algeria,Regional
CRB Dar El Beïda,Division Nationale Amateur - Centre,Algeria,Regional
O. El Oued,Algerian Lower Division,Algeria,Regional
IRB Laghouat,Algerian Lower Division,Algeria,Regional
CRB Aïn Turck,Algerian Lower Division,Algeria,Regional
IR Mécheria,Algerian Lower Division,Algeria,Regional
WAB Tissemsilt,Algerian Lower Division,Algeria,Regional
IRB Sougueur,Algerian Lower Division,Algeria,Regional
ZSA Témouchent,Algerian Lower Division,Algeria,Regional
SC Mécheria,Algerian Lower Division,Algeria,Regional
AS Bordj Ghedir,Algerian Lower Division,Algeria,Regional
NRB Grarem,Algerian Lower Division,Algeria,Regional
Ras El Oued,Algerian Lower Division,Algeria,Regional
SS Sidi Aïch,Algerian Lower Division,Algeria,Regional
OC Azazga,Algerian Lower Division,Algeria,Regional
AB Barika,Algerian Lower Division,Algeria,Regional
Benfica de Cabinda,Angolan Lower Division,Angola,National
Jackson Garcia,Angolan Lower Division,Angola,National
Polivalentes FC,Angolan Lower Division,Angola,National
JGM do Huambo,Angolan Lower Division,Angola,National
RC Boumerdès,Division Nationale Amateur - Centre,Algeria,Regional
ES Ben Aknoun,Algerian League 2 - West,Algeria,Regional
AB Chelghoum Laïd,Algerian League 2 - East,Algeria,Regional
CR Village Moussa,Division Nationale Amateur - Est,Algeria,Regional
CRB Kais,Division Nationale Amateur - Est,Algeria,Regional
CRB Ben Badis,Division Nationale Amateur - Ouest,Algeria,Regional
ASB Maghnia,Division Nationale Amateur - Ouest,Algeria,Regional
CRB Aïn Oussara,Algerian League 2 - West,Algeria,Regional
IRB El Kerma,Division Nationale Amateur - Ouest,Algeria,Regional
Norberto de Castro,-,Angola,National
Sporting Benguela B,Angolan Lower Division,Angola,National
Real Sambila,-,Angola,National
Mpatu a Ponta,Angolan Second Division,Angola,National
Paulo FC,Angolan Second Division,Angola,National
CR Beni Thour,Algerian League 2 - East,Algeria,Local
U.E. Santa Coloma,Andorran First Division,Andorra,Regional
NRB Beni Oulbane,-,Algeria,Local
OM Arzew,Algerian League 2 - West,Algeria,Local
ES Collo,Algerian Lower Division,Algeria,Local
WB Saoula,Algerian Lower Division,Algeria,Local
AB Merouana,Algerian Lower Division,Algeria,Local
WB Meftah,Algerian Lower Division,Algeria,Local
IRB Maghnia,Algerian Lower Division,Algeria,Local
IR Ouled Naïl,Algerian Lower Division,Algeria,Local
NC Maoussa,Algerian Lower Division,Algeria,Local
Hydra AC,Algerian Lower Division,Algeria,Local
JLC Douéra,Algerian Lower Division,Algeria,Local
JS Haï El-Djebel,Division Nationale Amateur - Centre,Algeria,Local
MB Hassi Messaoud,Algerian Lower Division,Algeria,Local
JS Sig,Algerian Lower Division,Algeria,Local
HB El Bordj,Algerian Lower Division,Algeria,Local
FC Bir El Arch,Algerian Lower Division,Algeria,Local
RCG Oran,Algerian Lower Division,Algeria,Local
JS Tichy,Algerian Lower Division,Algeria,Local
CMB Thénia,Algerian Lower Division,Algeria,Local
NT Souf,Division Nationale Amateur - Est,Algeria,Local
CRB Ouled Djellal,Algerian League 2 - East,Algeria,Local
MCB Oued Sly,Algerian League 2 - West,Algeria,Local
Kicks Utd,Anguillan FA Senior Male League,Anguilla,National
Pago Youth,American Samoan Senior League Division One,American Samoa,National
S. Salvador do Kongo,Angolan Second Division,Angola,National
ASK Dragão,Angolan Second Division,Angola,National
Ismael FC,Angolan Lower Division,Angola,National
,-,Algeria,Local
AR Ouargla,Algerian Lower Division,Algeria,Local
AKC FC,Angolan Lower Division,Angola,Regional
Real do M'buco,Angolan Lower Division,Angola,Regional
Evale FC,Angolan Lower Division,Angola,Regional
Victória do Bié,Angolan Second Division,Angola,Regional
City Jardim,Angolan Lower Division,Angola,Regional
Atlètic Escaldes,Andorran First Division,Andorra,Regional
Electro do Lobito,Angolan Lower Division,Angola,Regional
Encamp,Andorran Second Division,Andorra,Local
Utulei,American Samoan Senior League Division One,American Samoa,National
Ritondo,Angolan Lower Division,Angola,Regional
Benfica Mambroa,Angolan Lower Division,Angola,Regional
Sporting Angola,-,Angola,Regional
ES Azzefoun,Algerian Lower Division,Algeria,Local
Roaring Lions (AIA),Anguillan FA Senior Male League,Anguilla,National
Ngueto Maka,Angolan Lower Division,Angola,Regional
Atlético de Benguela,Angolan Lower Division,Angola,Regional
Atlético do Lubango,Angolan Lower Division,Angola,Regional
Kilamba City,Angolan Second Division,Angola,Regional
Nedji AFC,Angolan Second Division,Angola,Regional
Kambas FC,Angolan Lower Division,Angola,Regional
União Catumbela,Angolan Lower Division,Angola,Regional
Extremenya,Andorran Second Division,Andorra,Local
Penya Encarnada,Andorran Second Division,Andorra,Local
FS Massana,Andorran Second Division,Andorra,Local
Ordino,Andorran First Division,Andorra,Local
Enforcers FC,Anguillan FA Senior Male League,Anguilla,National
Ballers (AIA),Anguillan FA Senior Male League,Anguilla,National
Doc's Utd,Anguillan FA Senior Male League,Anguilla,National
Carroi,Andorran First Division,Andorra,Local
Recreativo do Seles,Angolan Lower Division,Angola,Local
GD Kafanda,Angolan Lower Division,Angola,Local
F.C. Santa Coloma B,Andorran Second Division,Andorra,Local
Cabinda SC,Angolan Lower Division,Angola,Local
Juventude Saurimo,Angolan Second Division,Angola,Local
Sant Julià B,Andorran Second Division,Andorra,Local
Engordany B,Andorran Second Division,Andorra,Local
Maloango FC,Angolan Lower Division,Angola,Local
Ara da Gabela,Angolan Lower Division,Angola,Local
USM Oran,Algerian Lower Division,Algeria,Obscure
MB Rouissat,Algerian Lower Division,Algeria,Obscure
US Beni Douala,Division Nationale Amateur - Centre,Algeria,Obscure
FCB Frenda,Algerian Lower Division,Algeria,Obscure
Lion Heart,American Samoan Senior League Division One,American Samoa,National
Ilaoa & To'omata,American Samoan Senior League Division One,American Samoa,National
Diamond (AIA),Anguillan FA Senior Male League,Anguilla,National
UPRISING,Anguillan FA Senior Male League,Anguilla,National
Royal Puma,American Samoan Senior League Division One,American Samoa,National
ED Kilamba Kiaxi,-,Angola,Local
Real Ginga Sport,Angolan Lower Division,Angola,Local
Renascer do Estoril,Angolan Lower Division,Angola,Local
OGC Dom Bosco,-,Angola,Local
Guelson FC,Angolan Lower Division,Angola,Local
União Benfica,Angolan Lower Division,Angola,Local
Belenenses de Angola,Angolan Lower Division,Angola,Local
ES Araba,-,Algeria,Obscure
Mundo Verde,Angolan Second Division,Angola,Local
FC Jovens de Hoje,Angolan Second Division,Angola,Local
Kaká FC,Angolan Second Division,Angola,Local
Malanje SC,Angolan Lower Division,Angola,Local
Brilhantes Simulambuco,Angolan Lower Division,Angola,Local
Lândana FC,Angolan Lower Division,Angola,Local
CD Pombo,Angolan Lower Division,Angola,Local
Ranger's FC,Andorran Second Division,Andorra,Local
U.E. Santa Coloma B,Andorran Second Division,Andorra,Local
ALHCS Spartans,Anguillan FA Senior Male League,Anguilla,Regional
Taputimu Youth,American Samoan Senior League Division One,American Samoa,National
Development (AIA),-,Anguilla,Regional
Vaiala Tongan,American Samoan Senior League Division One,American Samoa,National
Atlètic d'Escaldes B,Andorran Second Division,Andorra,Obscure
Lusitans,Andorran Lower Division,Andorra,Obscure
Encamp B,Andorran Lower Division,Andorra,Obscure
Lymers,Anguillan FA Senior Male League,Anguilla,Local
West End Predators,Anguillan FA Senior Male League,Anguilla,Local
Carroi B,Andorran Lower Division,Andorra,Obscure
PanSa,American Samoan Senior League Division One,American Samoa,National
CSSW Illizi,Algerian Lower Division,Algeria,Obscure
Black Roses,American Samoan Senior League Division One,American Samoa,National
Tafuna Jets,American Samoan Senior League Division One,American Samoa,National
Green Bay,American Samoan Senior League Division One,American Samoa,National
Aves Brancas,Angolan Lower Division,Angola,Obscure
UD Compão,Angolan Lower Division,Angola,Obscure
FC Chirimba,Angolan Lower Division,Angola,Obscure
17 de Setembro,Angolan Lower Division,Angola,Obscure
Gloriosos FC,Angolan Lower Division,Angola,Obscure
Amigos da Caponte,Angolan Lower Division,Angola,Obscure
Craques Alto Esperança,Angolan Lower Division,Angola,Obscure
Recreativo do Liro,Angolan Lower Division,Angola,Obscure
SP Nolasco,Angolan Lower Division,Angola,Obscure
Lion Heart B,-,American Samoa,National
Jenlai,Andorran Second Division,Andorra,Obscure
At. Amèrica,Andorran Second Division,Andorra,Obscure
Lusitans B,Andorran Lower Division,Andorra,Obscure
Sporting d'Escaldes,Andorran Lower Division,Andorra,Obscure
Pas de la Casa,Andorran Lower Division,Andorra,Obscure
Attackers (AIA),Anguillan FA Senior Male League,Anguilla,Obscure
Masters (AIA),-,Anguilla,Obscure
Grenades,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Hoppers,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Old Road (ATG),Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Otto's Rangers,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Swetes FC,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Liberta FC,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
All Saints Utd,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Parham FC,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Bullets (ATG),Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Five Islands,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
SAP FC,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Tryum,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Aston Villa (ATG),Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Empire F.C.,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Potter's Tigers,Antigua and Barbuda First Division,Antigua and Barbuda,National
Willikies,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Glanvilles,Antigua and Barbuda Second Division,Antigua and Barbuda,National
Fort Road,Antigua and Barbuda First Division,Antigua and Barbuda,National
John Hughes,Antigua and Barbuda First Division,Antigua and Barbuda,National
BlueJays,Antigua and Barbuda Premier Division,Antigua and Barbuda,National
Police (ATG),Antigua and Barbuda First Division,Antigua and Barbuda,National
Bolans,Antigua and Barbuda First Division,Antigua and Barbuda,National
Lion Hill,Antigua and Barbuda First Division,Antigua and Barbuda,National
Earthquakes,Antigua and Barbuda Second Division,Antigua and Barbuda,National
Bendals,Antigua and Barbuda First Division,Antigua and Barbuda,National
West Ham (ATG),Antigua and Barbuda First Division,Antigua and Barbuda,National
Bassa SC,Antigua and Barbuda Second Division,Antigua and Barbuda,National
Garden Stars,Antigua and Barbuda First Division,Antigua and Barbuda,National
Urlings,Antigua and Barbuda Second Division,Antigua and Barbuda,National
Freemansville,Antigua and Barbuda Second Division,Antigua and Barbuda,National
Jennings,Antigua and Barbuda Second Division,Antigua and Barbuda,National
Progressors,Antigua and Barbuda First Division,Antigua and Barbuda,National
Green City,Antigua and Barbuda First Division,Antigua and Barbuda,National
Young Lions (ATG),Antigua and Barbuda First Division,Antigua and Barbuda,National
Sea View Farm,Antigua and Barbuda Second Division,Antigua and Barbuda,Regional
English Harbour,Antigua and Barbuda Second Division,Antigua and Barbuda,Regional
Wadadli,Antigua and Barbuda Second Division,Antigua and Barbuda,Regional
Young Warriors,Antigua and Barbuda Second Division,Antigua and Barbuda,Local
River,Argentine Premier Division,Argentina,Continental
Boca,Argentine Premier Division,Argentina,Continental
Racing Club,Argentine Premier Division,Argentina,Continental
San Lorenzo,Argentine Premier Division,Argentina,Continental
Independiente,Argentine Premier Division,Argentina,Continental
Lanús,Argentine Premier Division,Argentina,Continental
Vélez,Argentine Premier Division,Argentina,Continental
Estudiantes (LP),Argentine Premier Division,Argentina,Continental
Rosario Central,Argentine Premier Division,Argentina,Continental
Newell's,Argentine Premier Division,Argentina,Continental
Talleres,Argentine Premier Division,Argentina,Continental
Defensa y Justicia,Argentine Premier Division,Argentina,National
Argentinos Jrs.,Argentine Premier Division,Argentina,National
Atl. Tucumán,Argentine Premier Division,Argentina,National
Colón,Argentine Premier Division,Argentina,National
Banfield,Argentine Premier Division,Argentina,National
Huracán,Argentine Premier Division,Argentina,National
Gimnasia (LP),Argentine Premier Division,Argentina,National
Unión (SF),Argentine Premier Division,Argentina,National
Belgrano,Argentine Second Division,Argentina,National
Godoy Cruz,Argentine Premier Division,Argentina,National
Tigre,Argentine Second Division,Argentina,National
Arsenal (Sarandí),Argentine Premier Division,Argentina,National
Patronato,Argentine Premier Division,Argentina,National
Aldosivi,Argentine Premier Division,Argentina,National
San Martín (Tucumán),Argentine Second Division,Argentina,National
Quilmes,Argentine Second Division,Argentina,National
Chacarita Jrs.,Argentine Second Division,Argentina,National
San Martín (SJ),Argentine Second Division,Argentina,National
Sarmiento (Junín),Argentine Premier Division,Argentina,National
Central Córdoba (SdE),Argentine Premier Division,Argentina,National
Temperley,Argentine Second Division,Argentina,National
Ferro,Argentine Second Division,Argentina,National
Atl. Rafaela,Argentine Second Division,Argentina,National
Instituto,Argentine Second Division,Argentina,National
Atlanta,Argentine Second Division,Argentina,National
Independiente Rivadavia,Argentine Second Division,Argentina,National
All Boys,Argentine Second Division,Argentina,National
Gimnasia (Jujuy),Argentine Second Division,Argentina,National
Estudiantes (RC),Argentine Second Division,Argentina,National
Def. de Belgrano,Argentine Second Division,Argentina,National
Platense,Argentine Premier Division,Argentina,National
Alte. Brown,Argentine Second Division,Argentina,National
Nueva Chicago,Argentine Second Division,Argentina,National
Dep. Morón,Argentine Second Division,Argentina,National
Olimpo,Argentine Third Division,Argentina,National
Los Andes,Argentine Third Division,Argentina,National
Almagro,Argentine Second Division,Argentina,National
Santamarina,Argentine Second Division,Argentina,National
Villa Dálmine,Argentine Second Division,Argentina,National
Estudiantes (BA),Argentine Second Division,Argentina,National
Guillermo Brown (PM),Argentine Second Division,Argentina,National
Brown (Adrogué),Argentine Second Division,Argentina,National
Barracas Central,Argentine Second Division,Argentina,National
Comunicaciones (ARG),Argentine Third Division,Argentina,National
Dep. Riestra,Argentine Second Division,Argentina,National
Gimnasia (Mendoza),Argentine Second Division,Argentina,National
Boca Unidos,Argentine Third Division,Argentina,National
Mitre (SdE),Argentine Second Division,Argentina,National
Agropecuario Argentino,Argentine Second Division,Argentina,National
Chaco For Ever,Argentine Third Division,Argentina,National
UAI Urquiza,Argentine Third Division,Argentina,National
Flandria,Argentine Third Division,Argentina,National
Alvarado,Argentine Second Division,Argentina,National
Dep. Maipú,Argentine Second Division,Argentina,National
Sarmiento (Resistencia),Argentine Third Division,Argentina,National
Villa Mitre,Argentine Third Division,Argentina,National
Huracán (Las Heras),Argentine Third Division,Argentina,National
Tristán Suárez,Argentine Second Division,Argentina,National
Dep. Madryn,Argentine Third Division,Argentina,National
Güemes (SdE),Argentine Second Division,Argentina,National
Douglas Haig,Argentine Third Division,Argentina,National
Fénix (ARG),Argentine Third Division,Argentina,National
San Telmo,Argentine Second Division,Argentina,National
Crucero del Norte,Argentine Third Division,Argentina,National
Desamparados,Argentine Third Division,Argentina,National
Central Norte (Salta),Argentine Third Division,Argentina,National
Def. de Belgrano (VR),Argentine Third Division,Argentina,National
Gimnasia y Tiro,Argentine Third Division,Argentina,National
Cipolletti,Argentine Third Division,Argentina,National
Acassuso,Argentine Third Division,Argentina,National
Racing (Cba),Argentine Third Division,Argentina,National
